Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2014",,,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All Races,Educational Attainment,,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,Some college no degree,"Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,
Both Sexes,,,,,,,,,,,,,,,,,,,
.18 years and over,"239,341",904,"1,751","3,355","4,369","3,773","4,711","10,646","70,919","46,484","9,763","12,637","45,176","17,960","3,174","3,719",,,
..18 to 24 years,"30,054",78,52,139,198,313,599,"3,673","8,679","11,565",632,978,"2,920",187,26,16,,,
.25 years and over,"209,287",826,"1,699","3,217","4,171","3,460","4,112","6,973","62,240","34,919","9,131","11,659","42,256","17,772","3,148","3,703",,,
..25 to 29 years,"21,486",25,75,212,204,319,362,772,"5,699","4,345",913,"1,245","5,687","1,262",173,192,,,
..30 to 34 years,"20,980",79,106,269,262,399,377,789,"5,342","3,438",952,"1,284","4,869","2,136",361,316,,,
..35 to 39 years,"19,411",91,141,368,287,312,376,642,"4,994","3,126",943,"1,241","4,236","1,947",359,346,,,
..40 to 44 years,"20,379",70,106,403,286,349,322,611,"5,250","3,276","1,007","1,297","4,733","1,969",294,405,,,
..45 to 49 years,"20,665",56,153,302,298,351,319,673,"6,139","3,277",984,"1,172","4,553","1,799",280,312,,,
..50 to 54 years,"22,233",80,176,313,354,351,394,734,"6,855","3,631","1,067","1,453","4,362","1,735",335,393,,,
..55 to 59 years,"21,156",73,130,271,327,291,357,683,"6,901","3,620","1,022","1,275","3,762","1,690",382,372,,,
..60 to 64 years,"18,470",79,160,227,423,207,307,481,"5,721","3,106",819,"1,044","3,430","1,761",336,368,,,
..65 to 69 years,"14,931",51,150,198,391,193,346,451,"4,653","2,729",563,674,"2,484","1,371",261,416,,,
..70 to 74 years,"10,811",47,129,187,308,183,316,331,"3,809","1,802",280,372,"1,669",958,148,272,,,
..75 years and over,"18,766",175,372,467,"1,030",506,636,805,"6,877","2,568",581,602,"2,471","1,146",218,311,,,
Male,,,,,,,,,,,,,,,,,,,
.18 years and over,"115,880",423,850,"1,733","2,246","1,884","2,396","5,708","35,514","22,085","4,470","5,195","21,300","7,898","1,833","2,343",,,
..18 to 24 years,"15,288",54,35,99,119,196,335,"2,055","4,796","5,628",282,411,"1,201",52,13,14,,,
.25 years and over,"100,592",370,814,"1,634","2,128","1,688","2,061","3,654","30,718","16,457","4,188","4,784","20,099","7,846","1,821","2,329",,,
..25 to 29 years,"10,831",20,33,125,108,153,203,424,"3,295","2,202",401,514,"2,710",478,70,93,,,
..30 to 34 years,"10,386",33,65,147,131,174,208,448,"3,029","1,764",463,566,"2,192",829,170,168,,,
..35 to 39 years,"9,562",43,69,204,164,182,198,384,"2,821","1,525",445,497,"1,850",833,181,166,,,
..40 to 44 years,"10,030",41,54,230,183,165,185,324,"2,813","1,594",446,553,"2,206",831,161,245,,,
..45 to 49 years,"10,145",25,102,174,157,193,182,411,"3,142","1,458",473,458,"2,155",847,180,189,,,
..50 to 54 years,"10,787",58,99,154,194,176,214,379,"3,470","1,646",524,581,"2,075",822,164,232,,,
..55 to 59 years,"10,252",37,60,138,171,126,213,387,"3,445","1,760",520,492,"1,668",733,258,245,,,
..60 to 64 years,"8,836",27,74,106,190,120,137,265,"2,652","1,446",371,468,"1,790",768,173,248,,,
